ReportGeneratedAt,AIEnabled,AIProvider,AIModel,CitationCount
"2026-04-10T03:30:43.598Z","Yes","gemini","Gemini 2.5 Flash","99"

Key,Status,Issues,Warnings
"ansari100_001","suspicious","","No DOI found and not in OpenAlex"
"ansari100_002","suspicious","","No DOI found and not in OpenAlex"
"ansari100_003","invalid","Invalid DOI: DOI 10.1109/CVPR.2022.001234 not found in CrossRef or DOI resolver",""
"ansari100_004","suspicious","","No DOI found and not in OpenAlex"
"ansari100_005","suspicious","","No DOI found and not in OpenAlex"
"ansari100_006","suspicious","","Generic author name pattern; No DOI found and not in OpenAlex"
"ansari100_007","suspicious","","Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_008","suspicious","","Generic author name pattern; No DOI found and not in OpenAlex"
"ansari100_009","suspicious","","No DOI found and not in OpenAlex"
"ansari100_010","suspicious","","No DOI found and not in OpenAlex"
"ansari100_011","suspicious","","No DOI found and not in OpenAlex"
"ansari100_012","suspicious","","No DOI found and not in OpenAlex"
"ansari100_013","suspicious","","Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_014","suspicious","","No DOI found and not in OpenAlex"
"ansari100_015","suspicious","","No DOI found and not in OpenAlex"
"ansari100_016","suspicious","","No DOI found and not in OpenAlex"
"ansari100_017","suspicious","","No DOI found and not in OpenAlex"
"ansari100_018","suspicious","","No DOI found and not in OpenAlex"
"ansari100_019","valid","","No DOI found and not in OpenAlex"
"ansari100_020","suspicious","","No DOI found and not in OpenAlex"
"ansari100_021","suspicious","","No DOI found and not in OpenAlex"
"ansari100_022","suspicious","","No DOI found and not in OpenAlex"
"ansari100_023","suspicious","","No DOI found and not in OpenAlex"
"ansari100_024","suspicious","","No DOI found and not in OpenAlex"
"ansari100_025","suspicious","","No DOI found and not in OpenAlex"
"ansari100_026","suspicious","","No DOI found and not in OpenAlex"
"ansari100_027","suspicious","","No DOI found and not in OpenAlex"
"ansari100_028","invalid","Invalid DOI: DOI 10.1109/TKDE.2020.3007655 not found in CrossRef or DOI resolver",""
"ansari100_029","invalid","Invalid DOI: DOI 10.1145/3545678.3557899 not found in CrossRef or DOI resolver",""
"ansari100_030","suspicious","","No DOI found and not in OpenAlex"
"ansari100_031","suspicious","","No DOI found and not in OpenAlex"
"ansari100_032","suspicious","","No DOI found and not in OpenAlex"
"ansari100_033","suspicious","","No DOI found and not in OpenAlex"
"ansari100_034","suspicious","","Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_035","suspicious","","No DOI found and not in OpenAlex"
"ansari100_036","suspicious","","No DOI found and not in OpenAlex"
"ansari100_037","suspicious","","No DOI found and not in OpenAlex"
"ansari100_038","suspicious","","Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_039","suspicious","","Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_040","suspicious","","No DOI found and not in OpenAlex"
"ansari100_041","suspicious","","No DOI found and not in OpenAlex"
"ansari100_042","invalid","Invalid DOI: DOI 10.1038/s41561-023-01297-2 not found in CrossRef or DOI resolver",""
"ansari100_043","suspicious","","No DOI found and not in OpenAlex"
"ansari100_044","suspicious","","No DOI found and not in OpenAlex"
"ansari100_045","suspicious","","No DOI found and not in OpenAlex"
"ansari100_046","suspicious","","Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_047","suspicious","","No DOI found and not in OpenAlex"
"ansari100_048","suspicious","","No DOI found and not in OpenAlex"
"ansari100_049","suspicious","","No DOI found and not in OpenAlex; Weak Semantic Scholar match (similarity 0.33); Low metadata similarity score: 0.17"
"ansari100_050","suspicious","","No DOI found and not in OpenAlex"
"ansari100_051","suspicious","","No DOI found and not in OpenAlex"
"ansari100_052","suspicious","","No DOI found and not in OpenAlex"
"ansari100_053","suspicious","","No DOI found and not in OpenAlex"
"ansari100_054","suspicious","","No DOI found and not in OpenAlex"
"ansari100_055","suspicious","","No DOI found and not in OpenAlex"
"ansari100_056","suspicious","","Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_057","suspicious","","Suspiciously short title; Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_058","suspicious","","No DOI found and not in OpenAlex"
"ansari100_059","suspicious","","No DOI found and not in OpenAlex"
"ansari100_060","suspicious","","No DOI found and not in OpenAlex"
"ansari100_061","suspicious","","No DOI found and not in OpenAlex"
"ansari100_062","suspicious","","No DOI found and not in OpenAlex"
"ansari100_063","suspicious","","No DOI found and not in OpenAlex"
"ansari100_064","suspicious","","No DOI found and not in OpenAlex"
"ansari100_065","suspicious","","No DOI found and not in OpenAlex"
"ansari100_066","suspicious","","No DOI found and not in OpenAlex"
"ansari100_067","suspicious","","No DOI found and not in OpenAlex"
"ansari100_068","suspicious","","No DOI found and not in OpenAlex"
"ansari100_069","suspicious","","No DOI found and not in OpenAlex"
"ansari100_070","suspicious","","No DOI found and not in OpenAlex"
"ansari100_071","suspicious","","No DOI found and not in OpenAlex"
"ansari100_072","suspicious","","Generic author name pattern; No DOI found and not in OpenAlex"
"ansari100_073","suspicious","","No DOI found and not in OpenAlex"
"ansari100_074","suspicious","","No DOI found and not in OpenAlex"
"ansari100_075","suspicious","","No DOI found and not in OpenAlex"
"ansari100_076","suspicious","","No DOI found and not in OpenAlex"
"ansari100_077","suspicious","","Generic author name pattern; No DOI found and not in OpenAlex"
"ansari100_078","suspicious","","No DOI found and not in OpenAlex"
"ansari100_079","suspicious","","No DOI found and not in OpenAlex"
"ansari100_080","suspicious","","No DOI found and not in OpenAlex"
"ansari100_081","suspicious","","No DOI found and not in OpenAlex"
"ansari100_082","suspicious","","Suspiciously short author; No DOI found and not in OpenAlex"
"ansari100_083","suspicious","","No DOI found and not in OpenAlex"
"ansari100_084","suspicious","","No DOI found and not in OpenAlex; Semantic Scholar title match but no author/year confirmation"
"ansari100_085","valid","","No DOI found and not in OpenAlex"
"ansari100_086","suspicious","","Generic author name pattern; No DOI found and not in OpenAlex"
"ansari100_087","suspicious","","No DOI found and not in OpenAlex"
"ansari100_088","suspicious","","No DOI found and not in OpenAlex"
"ansari100_089","suspicious","","No DOI found and not in OpenAlex"
